row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
8591,Abbeville,50.1101,1.8319,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,1025.7725707936568,2138.0,4.0,18.08,19000.0,0.944732282949251,0.2546559201451042,0.2495657123310198,0.0,22395.0,853.4387158977016
9752,Ablon-sur-Seine,48.7236,2.4229,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,321.10878901504776,3302.0,4.0,19.86,24000.0,1.059246026636157,0.2130478722937387,0.138663872550241,7.0212994570919385,5988.0,5245.269796776454
8360,Achères,48.9817,2.1095,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,1861.639059828323,10152.0,8.0,24.78,23420.0,1.025678719952991,0.2249038577510537,0.1251056082175663,9.557685023780287,22241.0,2347.3846413644615
3055,Agde,43.3084,3.4838,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,1732.613593664243,4076.0,30.0,21.04,20410.0,1.0905865053578254,0.1569870710662266,0.3446643235888498,0.0,29939.0,596.1307947481392
4653,Agen,44.201,0.6302,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,1074.0455302217918,1802.0,8.0,17.41,19160.0,0.9262726261227012,0.2512517822696818,0.2054733942773537,0.0,32801.0,2846.641846095099
832,Aix-en-Provence,43.536,5.3879,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,4853.5635791267905,5007.0,56.0,16.74,25810.0,1.0152489571267629,0.2369933372595882,0.197083779414931,0.0,149695.0,798.3767397407563
7685,Aix-les-Bains,45.6943,5.9035,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,800.9518013731101,4386.0,44.0,21.66,24110.0,1.0940098848421669,0.1739721491313522,0.2713150870261423,4.557469752060291,32406.0,2042.274824170007
2413,Ajaccio,41.9228,8.7058,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,2804.6635138009215,4593.0,20.0,14.74,23320.0,1.2091609464777875,0.1365495154288005,0.2348661239643343,0.0,76320.0,925.2501642706987
8596,Albert,50.0035,2.6515,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,544.093632064867,2113.0,7.0,17.6,19620.0,1.0435992257683602,0.2208339692539154,0.2463510967080074,3.1560373001678217,9521.0,687.5112828104127
7687,Albertville,45.6647,6.41,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,2277.6853766179415,2444.0,22.0,25.26,20680.0,1.0829376139142752,0.1787609487097674,0.2237725338782162,0.0,19978.0,1148.2401085132308
8686,Albi,43.929,2.1323,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,690.4297015250746,1830.0,7.0,20.79,21650.0,1.029215763649041,0.217833518816761,0.2750704213678407,0.0,51290.0,1140.949152240745
7232,Albigny-sur-Saône,45.8666,4.8284,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,964.4896635441144,3028.0,22.0,12.98,27080.0,1.3486616995425795,0.0935475247654407,0.2572802890496224,6.818582491156433,3057.0,1166.7048316922371
6221,Alençon,48.431,0.0923,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,560.5125536763085,3129.0,21.0,16.23,19220.0,0.881510990375792,0.2824841308285433,0.2349368685381657,0.0,25490.0,2362.1536465573167
9753,Alfortville,48.7963,2.4214,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,736.5348128851163,4197.0,5.0,16.12,22360.0,0.6836803567911086,0.4258425075656716,0.1502227039508051,3.1923005735527803,45531.0,12400.522918539096
7078,Altkirch,47.6206,7.2445,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,822.1723139644461,1825.0,14.0,17.97,23580.0,1.235565605218393,0.1231728305799561,0.1985245874085809,6.453355623610181,5687.0,594.7873742338988
2471,Alès,44.125,4.0905,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,543.1833779927663,1362.0,10.0,16.82,18000.0,0.9574115656718468,0.239080347192888,0.264491446811425,0.0,46125.0,1981.0931768788707
2817,Ambarès-et-Lagrave,44.9517,-0.5,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,2544.9840490221018,2164.0,2.0,16.0,21780.0,1.3737496644742129,0.0770835704964311,0.1560469713899173,11.966595622469365,17644.0,713.7771448914204
3487,Amboise,47.3967,0.9989,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,3057.166720833409,1638.0,11.0,17.28,22160.0,1.2046525069443272,0.135974878808967,0.2715773021734519,5.517831095314001,12937.0,315.6081745371511
0,Ambérieu-en-Bugey,45.9575,5.3706,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,2214.0209689079866,3921.0,49.0,18.69,21660.0,1.2008047939887068,0.1466557456067405,0.1806144975464613,8.272244716413862,15934.0,649.0956493400683
8597,Amiens,49.8987,2.2847,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,587.1199239078028,11962.0,37.0,15.35,19650.0,0.8335314898984536,0.3325311909537392,0.1609484034349253,0.0,136449.0,2707.235484587791
5458,Amnéville,49.2469,6.1179,0,"c0 - Gare, pôle urbain dense",Faible,1.0,2.0,1647.6923841115974,586.0,4.0,15.48,22440.0,1.3022161143703972,0.116771535730246,0.1947579249560523,9.070845652834407,10875.0,1072.612143448929
4303,Ancenis-Saint-Géréon,47.382,-1.1681,0,"c0 - Gare, pôle urbain dense",Faible,1.0,3.0,1585.1493948752454,3984.0,45.0,13.53,22740.0,1.2038417742980494,0.1416608373465064,0.2345078902268376,0.0,11600.0,417.77412825665743
