city_name,citycode,nom_insee,lat_insee,lon_insee,code_dept,code_region,population_insee,surface_km2,densite_pop_km2,revenu_median_uc,taux_sans_voiture,voitures_par_menage,part_65plus,distance_dom_trav_med_km,nb_gares,nb_trajets_total,nb_trajets_moy_arret,nb_trajets_max_arret,nb_lignes_total,premier_depart_matin,dernier_depart_ville,amplitude_moy_h,amplitude_max_h,amplitude_min_h,service_weekend,service_7j_sur_7,dist_gare_min_m,has_gare,accessibilite_ord,dernier_depart_apres_minuit
Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey,45.9575,5.3706,01,84,15934.0,24.548000000000002,649.0956493400683,21660.0,0.14665574560674052,1.2008047939887068,0.18061449754646136,8.272244716413862,2,3921,1307.0,2059,49,04:30:00,24:29:00,18.69,18.92,18.33,True,True,2214.0209689079866,True,3,0
Ambérieux-en-Dombes,01005,Ambérieux-en-Dombes,45.9992,4.9119,01,84,1906.0,16.0397,118.83015268365368,24610.0,0.03610824641419681,1.5312835249830123,0.16984965533372354,14.464642950262972,0,0,0.0,0,0,,,,,,False,False,7431.420617442158,False,0,0
Ambronay,01007,Ambronay,46.0099,5.3627,01,84,2841.0,33.7053,84.2894144244377,24860.0,0.05162791844530491,1.484136576513348,0.169292742866163,10.648174076434229,4,597,149.2,240,6,06:55:00,21:23:00,10.08,14.3,0.13,True,True,1713.2785034757278,True,2,0
Anglefort,01010,Anglefort,45.9086,5.7948,01,84,1174.0,29.5554,39.722013574507535,24700.0,0.03520764104380407,1.486097470580126,0.16395758392662244,7.464333811854525,0,0,0.0,0,0,,,,,,False,False,6679.709964604203,False,0,0
Arbent,01014,Arbent,46.2838,5.6879,01,84,3555.0,23.668699999999998,150.19836323921467,22410.0,0.06460747262869353,1.447468914669848,0.22503743617793712,3.8476503919391365,0,0,0.0,0,0,,,,,,False,False,3778.752356055668,False,0,0
Ars-sur-Formans,01021,Ars-sur-Formans,45.9904,4.8195,01,84,1528.0,5.5198,276.821623971883,26430.0,0.02929195623031006,1.5549239891752342,0.18532400390967022,7.902484588128979,0,0,0.0,0,0,,,,,,False,False,7627.02039532909,False,0,0
Artemare,01022,Artemare,45.8701,5.692,01,84,1139.0,3.3229,342.7728791116194,22000.0,0.11492281303602059,1.2641509433962264,0.2953549517966696,6.84961185219045,0,0,0.0,0,0,,,,,,False,False,3828.228841188108,False,0,0
Attignat,01024,Attignat,46.2858,5.1823,01,84,3409.0,18.9431,179.95998543005103,24460.0,0.04192134797001665,1.5216293622227055,0.1922302351052918,10.491046255853572,0,0,0.0,0,0,,,,,,False,False,5912.29337408205,False,0,0
Bâgé-Dommartin,01025,Bâgé-Dommartin,46.3277,4.9704,01,84,4050.0,57.011,71.03892231323779,24880.0,0.032709256197944,1.6023048350990523,0.1686145506774501,12.44749460429644,0,0,0.0,0,0,,,,,,False,False,8566.472462129183,False,0,0
Balan,01027,Balan,45.8268,5.1076,01,84,3077.0,17.9948,170.99384266565895,25770.0,0.021060258310764704,1.6286885074500783,0.10090799572085024,3.9501315974652433,0,0,0.0,0,0,,,,,,False,False,2821.606916568785,False,0,0
Bellignat,01031,Bellignat,46.2402,5.6371,01,84,3525.0,7.819400000000001,450.8018518044862,20550.0,0.17563144966969055,1.1384189233826771,0.20697286793141523,2.4614570074963544,1,324,108.0,190,9,06:21:00,19:28:00,12.93,13.12,12.83,True,True,543.8271734765239,True,2,0
Béligneux,01032,Béligneux,45.8622,5.1415,01,84,3535.0,13.3568,264.65919980833735,23060.0,0.03608145248709246,1.516716454776141,0.15308004394296038,9.907450153852777,1,1743,581.0,872,7,05:37:00,24:13:00,18.08,18.6,17.6,True,True,1925.5447790226444,True,3,0
Valserhône,01033,Valserhône,46.1234,5.7944,01,84,16712.0,62.860699999999994,265.8576821448059,23780.0,0.12912226950941347,1.2434819231730467,0.17104703587962072,0.0,2,3526,881.5,1832,58,04:50:00,23:46:00,16.1,18.93,9.07,True,True,2727.642002918423,True,3,0
Belley,01034,Belley,45.743,5.6927,01,84,9388.0,22.546100000000003,416.39130492635087,21180.0,0.1646816307833257,1.1573522675217591,0.26299892125134844,0.0,0,0,0.0,0,0,,,,,,False,False,12089.384935043912,False,0,0
Valromey-sur-Séran,01036,Valromey-sur-Séran,45.9236,5.6626,01,84,1351.0,56.604099999999995,23.867529030582592,23820.0,0.026397515527950312,1.5124223602484472,0.28296296296296297,11.35113258453279,0,0,0.0,0,0,,,,,,False,False,8399.164826607983,False,0,0
Beynost,01043,Beynost,45.8359,4.9964,01,84,5198.0,10.6897,486.26247696380625,28730.0,0.061665971903666836,1.4791753653300825,0.18676119733013347,8.523725336442222,2,1743,435.8,856,8,05:37:00,24:04:00,13.2,18.45,0.58,True,True,711.5219536297096,True,3,0
Blyes,01047,Blyes,45.8442,5.2515,01,84,1401.0,9.4245,148.65510106636955,27110.0,0.03143302668092585,1.6023670350582475,0.09300084366306943,13.729235367782545,0,0,0.0,0,0,,,,,,False,False,7810.07444565465,False,0,0
La Boisse,01049,La Boisse,45.8483,5.0262,01,84,3449.0,9.4246,365.9571759013645,26780.0,0.04964971564778261,1.5698515982912478,0.15806798597483357,7.6741214945624225,0,0,0.0,0,0,,,,,,False,False,2055.4301143738676,False,0,0
Bourg-en-Bresse,01053,Bourg-en-Bresse,46.2027,5.2469,01,84,42372.0,24.0323,1763.1271247446145,20210.0,0.2185285996253635,0.9921694059276552,0.22846038031936647,0.0,5,5167,574.1,2045,49,05:17:00,24:29:00,12.42,19.2,0.55,True,True,1759.1821660804087,True,3,0
Bourg-Saint-Christophe,01054,Bourg-Saint-Christophe,45.8842,5.1393,01,84,1562.0,8.9982,173.5902736102776,27320.0,0.02391641002339041,1.7013146702027517,0.13733721367754548,11.979833590407551,0,0,0.0,0,0,,,,,,False,False,4039.753922110062,False,0,0
Brens,01061,Brens,45.7163,5.69,01,84,1123.0,6.8848,163.11294445735533,25110.0,0.023431383712483263,1.6163665948258146,0.21790234070616654,4.735759744898309,0,0,0.0,0,0,,,,,,False,False,14941.954574542773,False,0,0
Bressolles,01062,Bressolles,45.8714,5.0984,01,84,1028.0,7.6556,134.28078791995404,28710.0,0.029844668944438928,1.625657298800119,0.16834372428115252,12.335092411397394,0,0,0.0,0,0,,,,,,False,False,3207.4567062401334,False,0,0
Briord,01064,Briord,45.768,5.4832,01,84,1119.0,12.3156,90.86037221085452,23440.0,0.03486168480472184,1.5311078651318086,0.11278335934963121,9.693633147022666,0,0,0.0,0,0,,,,,,False,False,15946.02856415427,False,0,0
Buellas,01065,Buellas,46.2116,5.1468,01,84,1899.0,10.2478,185.308066121509,26810.0,0.03470843805702109,1.5481886723195906,0.20829569227428665,7.766285280887449,0,0,0.0,0,0,,,,,,False,False,4074.074473153479,False,0,0
Certines,01069,Certines,46.1336,5.2638,01,84,1531.0,16.0212,95.56088183157317,25570.0,0.020200978589318287,1.567712047586183,0.18966183396206654,7.793006222832955,0,0,0.0,0,0,,,,,,False,False,1829.564352126632,False,0,0
Cessy,01071,Cessy,46.3157,6.082,01,84,5832.0,6.4024,910.9084093464951,42540.0,0.03198331467746688,1.5472160323423017,0.10400533387295781,4.726914202799764,0,0,0.0,0,0,,,,,,False,False,17558.750420012722,False,0,0
Ceyzériat,01072,Ceyzériat,46.1822,5.3191,01,84,3328.0,9.2286,360.61807858180003,25320.0,0.053561386570135684,1.4589443944076257,0.22871299907055473,6.006801481987354,1,329,109.7,190,9,06:21:00,19:23:00,12.84,13.03,12.75,True,True,518.718383374539,True,2,0
Ceyzérieu,01073,Ceyzérieu,45.8368,5.7197,01,84,1064.0,19.855999999999998,53.58581788879936,25250.0,0.03624210764139181,1.528737928617117,0.28833470380811477,10.63810102931052,0,0,0.0,0,0,,,,,,False,False,4629.021007787661,False,0,0
Chalamont,01074,Chalamont,46.0149,5.1735,01,84,2533.0,32.992399999999996,76.77525733199163,23720.0,0.08584474885844749,1.378082191780822,0.19614779874213836,16.511755863720502,0,0,0.0,0,0,,,,,,False,False,9465.521719924414,False,0,0
